PRIMARY_KEY,STATE,YEAR,ENROLL,TOTAL_REVENUE,FEDERAL_REVENUE,STATE_REVENUE,LOCAL_REVENUE,TOTAL_EXPENDITURE,INSTRUCTION_EXPENDITURE,SUPPORT_SERVICES_EXPENDITURE,OTHER_EXPENDITURE,CAPITAL_OUTLAY_EXPENDITURE,GRADES_PK_G,GRADES_KG_G,GRADES_4_G,GRADES_8_G,GRADES_12_G,GRADES_1_8_G,GRADES_9_12_G,GRADES_ALL_G,AVG_MATH_4_SCORE,AVG_MATH_8_SCORE,AVG_READING_4_SCORE,AVG_READING_8_SCORE
2009_WASHINGTON,WASHINGTON,2009,1035907,12025012,1385421,7146416,3493175,12240632,5984072,3464921,509407,1818982,11037,74547,78270,77206,83604,619803,329960,1035347,242,289,221,267
2009_WEST_VIRGINIA,WEST_VIRGINIA,2009,281908,3097212,355325,1793917,947970,3121728,1759397,994305,196984,157049,13894,21454,20790,20516,18688,164965,82349,282662,233,270,215,255
2009_WISCONSIN,WISCONSIN,2009,867035,10991081,1258519,4785070,4947492,10880480,5857285,3382519,473295,648807,47054,61094,61242,61748,71242,485288,279000,872436,244,288,220,266
2009_WYOMING,WYOMING,2009,86971,1675761,108333,945765,621663,1658156,744877,482641,47165,372507,534,7406,6683,6606,6160,53885,26330,88155,242,286,223,268
2010_ALABAMA,ALABAMA,2010,748889,7281058,1134111,3800128,2346819,7647571,3900492,2308399,555539,729720,8179,57665,59117,57992,49719,467768,221940,755552,,,,
2010_ALASKA,ALASKA,2010,131265,2230338,366970,1356673,506695,2371251,1151630,856333,71634,229874,2990,10120,9917,9622,9643,78880,40114,132104,,,,
2010_ARIZONA,ARIZONA,2010,963517,8828122,1579806,3139588,4108728,8812967,4223152,2949514,400773,713810,8554,82860,82862,80636,81326,660440,319747,1071751,,,,
2010_ARKANSAS,ARKANSAS,2010,474897,5069272,787738,3677112,604422,5520387,2521528,1595730,639753,595456,14059,37701,36873,36237,30330,293680,136156,482114,,,,
2010_CALIFORNIA,CALIFORNIA,2010,6213958,67356719,9715980,34173911,23466828,71227111,34657275,20704755,3556156,7150441,72404,468036,463691,476639,492545,3749960,1993538,6289578,,,,
2010_COLORADO,COLORADO,2010,825242,8793676,714230,3817875,4261571,8914338,4232076,2807231,330789,1011988,30593,65182,63819,59684,60899,505302,242239,843316,,,,
2010_CONNECTICUT,CONNECTICUT,2010,534800,9726922,818573,3238401,5669948,9542108,5242817,2768520,331600,823081,15921,39670,41155,42346,41381,331884,173071,560546,,,,
2010_DELAWARE,DELAWARE,2010,117628,1733458,180584,992422,560452,1758988,901200,499586,79328,192826,1626,9810,9797,9504,8464,78843,39124,129403,,,,
2010_DISTRICT_OF_COLUMBIA,DISTRICT_OF_COLUMBIA,2010,43866,1195934,80585,0,1115349,1290048,526469,425379,40837,297363,9581,5939,4877,4307,3407,37867,17632,71284,,,,
2010_FLORIDA,FLORIDA,2010,2627390,26231141,4200103,8216582,13814456,27267009,13869921,8069310,1573867,2944085,52779,197097,200682,201676,178315,1608622,784849,2643347,,,,
2010_GEORGIA,GEORGIA,2010,1660643,17839851,2598486,6739406,8501959,17834488,9841382,5059938,822517,1814143,42816,132008,131326,123794,100392,1027655,474588,1677067,,,,
2010_HAWAII,HAWAII,2010,180196,2564856,382400,2093300,89156,2215458,1321657,697833,123051,72917,1393,16028,13457,12567,10818,109990,51975,179601,,,,
2010_IDAHO,IDAHO,2010,266613,2177999,444112,1231537,502350,2098737,1159932,638912,100157,135181,1821,21144,21575,20588,19362,171179,81715,275859,,,,
2010_ILLINOIS,ILLINOIS,2010,2098401,28253620,3809939,8696107,15747574,28560306,14668228,9146295,961079,1944264,78260,146225,153781,154293,146953,1230308,636861,2091654,,,,
2010_INDIANA,INDIANA,2010,1026053,14023240,1477561,7342841,5202838,11502534,5746633,3696608,492877,929416,11652,76765,82387,79790,74836,640997,317818,1047232,,,,
2010_IOWA,IOWA,2010,491255,5744872,728361,2217889,2798622,5941449,2970150,1622316,226336,811476,27211,39306,35071,35263,37704,281595,147663,495775,,,,
2010_KANSAS,KANSAS,2010,471406,5454128,673692,2860999,1919437,5979429,2837948,1529158,219287,1182167,17318,37023,35991,34220,33180,285250,139505,483701,,,,
2010_KENTUCKY,KENTUCKY,2010,679901,6881951,1059915,3662243,2159793,7092071,3616584,2117063,416036,747498,24260,51091,51189,48525,43723,404656,192661,673128,,,,
2010_LOUISIANA,LOUISIANA,2010,663802,8091029,1549575,3348043,3193411,8125021,4136550,2543542,402190,788979,29657,54276,58778,49523,38438,428333,184292,696558,,,,
2010_MAINE,MAINE,2010,187634,2721365,320917,1083913,1316535,2680693,1421800,874381,106653,157510,4247,13819,13728,14358,15315,110863,60148,189077,,,,
2010_MARYLAND,MARYLAND,2010,848252,13327770,1004498,5544725,6778547,13205691,7147880,4047487,481151,1107922,29377,62704,60765,61971,60555,496075,264055,852211,,,,
2010_MASSACHUSETTS,MASSACHUSETTS,2010,929569,14919763,1092892,5742989,8083882,14857823,8479433,4512401,442057,807802,27747,67496,71140,71588,67716,570283,289161,955563,,,,
2010_MICHIGAN,MICHIGAN,2010,1510716,19393461,2383817,9694417,7315227,19967017,9457233,6228939,879325,1201729,28187,112835,115722,118831,122236,929231,508868,1587067,,,,
2010_MINNESOTA,MINNESOTA,2010,799615,10383935,1245368,5978487,3160080,10564774,5676045,2504618,795088,949938,14405,62961,61627,61706,73661,492597,268074,838037,,,,
2010_MISSISSIPPI,MISSISSIPPI,2010,491651,4466377,945973,2109089,1411315,4504257,2337184,1399684,273024,421984,3447,38923,38295,36113,29668,303722,136277,490526,,,,
2010_MISSOURI,MISSOURI,2010,897348,9587703,1430854,3471772,4685077,10139784,5237387,3043213,549680,926566,28495,69376,68313,66944,65990,545120,275719,918710,,,,
2010_MONTANA,MONTANA,2010,141693,1623971,256049,744931,622991,1642886,895727,531730,68814,110195,1351,11115,10751,10729,10316,86025,43202,141693,,,,
2010_NEBRASKA,NEBRASKA,2010,294948,3720560,465728,1184996,2069836,3640199,2089854,927065,152158,371348,12656,23411,21901,20875,22236,174225,88208,298500,,,,
2010_NEVADA,NEVADA,2010,423859,4262471,358496,2341891,1562084,4260869,2117135,1359161,142848,381094,4444,32454,34047,33070,29207,269773,129831,437149,,,,
2010_NEW_HAMPSHIRE,NEW_HAMPSHIRE,2010,196648,2906573,185175,1060998,1660400,2856965,1612216,837094,76110,131261,3097,11970,14294,15407,15019,116509,63135,194711,,,,
2010_NEW_JERSEY,NEW_JERSEY,2010,1369553,26676217,2386865,9059511,15229841,26736651,14481471,8958765,962529,1154089,53564,92413,98641,99630,97358,794568,405143,1402548,,,,
2010_NEW_MEXICO,NEW_MEXICO,2010,331436,3638606,753816,2307843,576947,3814058,1800983,1178045,135042,634137,7980,26688,25955,24469,20594,204677,98777,338122,,,,
2010_NEW_YORK,NEW_YORK,2010,2697357,55453300,3694050,23111427,28647823,60067253,36628097,14152383,1433218,6125749,51649,194607,198720,203761,191528,1609766,851829,2734955,,,,
2010_NORTH_CAROLINA,NORTH_CAROLINA,2010,1444409,16621268,1927843,7451302,7242123,14162497,7637844,3873929,705012,1192652,23510,115782,118617,111112,91541,918327,432196,1490605,,,,
2010_NORTH_DAKOTA,NORTH_DAKOTA,2010,94997,1308214,277985,552616,477613,1267426,627378,342204,80790,142873,1529,7449,6974,7298,7581,57057,30288,96323,,,,
2010_OHIO,OHIO,2010,1669748,23247907,2310440,9987732,10949735,22701333,10976072,7468941,923709,2451038,30047,129964,133202,133210,118946,1062797,531383,1754191,,,,
2010_OKLAHOMA,OKLAHOMA,2010,653592,5778507,768319,2658186,2352002,5971651,2900568,1901671,624330,471937,40688,52114,48519,45737,39634,389362,175949,659911,,,,
2010_OREGON,OREGON,2010,560239,6219779,813110,2947614,2459055,6398065,3246437,2054025,219391,573818,9392,40656,42924,42834,46212,342553,178119,570720,,,,
2010_PENNSYLVANIA,PENNSYLVANIA,2010,1682887,27883991,2977089,9430947,15475955,28231191,13442543,7774897,1183764,2208448,16294,128120,132497,135876,141710,1064238,582442,1793284,,,,
2010_RHODE_ISLAND,RHODE_ISLAND,2010,141023,2207123,247217,736525,1223381,2187163,1238257,758963,89242,40673,2054,10057,10865,10954,10466,85623,46059,143793,,,,
2010_SOUTH_CAROLINA,SOUTH_CAROLINA,2010,715590,7755419,1058473,3377539,3319407,8242553,3797945,2445636,389554,1203253,24188,54624,55636,52904,44703,436769,210257,725838,,,,
2010_SOUTH_DAKOTA,SOUTH_DAKOTA,2010,123555,1292742,250554,398601,643587,1281632,660064,382212,57639,146273,1974,11049,9140,9275,9063,74913,38192,126128,,,,
2010_TENNESSEE,TENNESSEE,2010,971414,8405025,1094293,3834174,3476558,8760367,4934044,2516326,467568,627390,28787,76642,75481,71475,67441,596278,285715,987422,,,,
2010_TEXAS,TEXAS,2010,4728815,50559500,7984614,18899565,23675321,53810244,25097921,14179639,2401640,8055742,249122,374195,374111,354314,298400,2963292,1349106,4935715,,,,
2010_UTAH,UTAH,2010,538676,4250259,570301,2171889,1508069,4326951,2117551,1002867,308107,786272,10376,48043,46127,42227,38744,366560,160573,585552,,,,
2010_VERMONT,VERMONT,2010,87750,1749898,173528,1326528,249842,1719870,890606,509650,47578,65751,10678,6259,6291,6757,7114,51052,28869,96858,,,,
2010_VIRGINIA,VIRGINIA,2010,1244673,14937195,1532041,5489710,7915444,14919831,8049137,4654459,565527,1127484,30821,92899,93965,91877,89266,747726,379994,1251440,,,,
2010_WASHINGTON,WASHINGTON,2010,1034735,11919090,1400984,6931430,3586676,11820814,5934710,3402730,503236,1516372,12056,75933,78546,78448,83712,626183,329616,1043788,,,,
2010_WEST_VIRGINIA,WEST_VIRGINIA,2010,281828,3176874,513794,1677745,985335,3484593,1978226,1094980,204402,191662,14660,21256,20493,20455,18430,165556,81407,282879,,,,
2010_WISCONSIN,WISCONSIN,2010,864898,11289720,1115342,4951919,5222459,11116821,5994721,3455651,485711,617744,50200,60721,61015,61337,69858,487558,273807,872286,,,,
2010_WYOMING,WYOMING,2010,87379,1718605,123942,880916,713747,1696177,787627,504838,49289,340678,582,7611,6694,6657,6233,54593,26223,89009,,,,
2011_ALABAMA,ALABAMA,2011,746933,7376725,1077070,3965614,2334041,7411768,3844055,2295909,559140,564183,8282,57602,56491,57919,49510,461122,217615,744621,231,269,220,258
2011_ALASKA,ALASKA,2011,131704,2357828,420152,1416163,521513,2443898,1215062,908567,81031,180137,2755,10453,9667,9527,9918,78849,39110,131167,236,283,208,261
2011_ARIZONA,ARIZONA,2011,946571,8429186,1245814,3054501,4128871,8610417,3977772,2935127,350633,741124,8860,84433,82566,81294,81179,665998,320807,1080319,235,279,212,260
2011_ARKANSAS,ARKANSAS,2011,475551,5176362,827026,3701224,648112,5669431,2559292,1655684,676591,605857,14466,37305,36662,36339,30441,293926,136959,483114,238,279,217,259
2011_CALIFORNIA,CALIFORNIA,2011,6202604,70953331,9990221,37752712,23210398,69847705,34225248,20266047,3486160,6523770,73630,488070,462082,467626,494144,3742708,1977069,6287834,234,273,211,255
2011_COLORADO,COLORADO,2011,834832,8747471,969288,3493923,4284260,8676451,4204486,2804955,338267,827354,31091,66361,64560,61156,61398,513402,243411,854265,244,292,223,271
2011_CONNECTICUT,CONNECTICUT,2011,530132,9783168,796156,3185501,5801511,9439182,5363942,2844490,333756,516116,16022,38840,40138,42511,40677,328515,171060,554437,242,287,227,275
2011_DELAWARE,DELAWARE,2011,119878,1759170,192182,1010026,556962,1808905,964284,497158,89576,182497,1402,10116,9691,9569,8570,79106,38322,128946,240,283,225,266
2011_DISTRICT_OF_COLUMBIA,DISTRICT_OF_COLUMBIA,2011,44199,1283071,155505,0,1127566,1297175,525185,389526,56132,326332,10831,6358,4643,4328,3190,38259,17261,73911,222,260,201,242
2011_FLORIDA,FLORIDA,2011,2636404,26453693,4710376,9069119,12674198,26991946,14284224,8077593,1637138,2217069,54938,203302,195625,200378,174371,1617862,792054,2668156,240,278,225,262
2011_GEORGIA,GEORGIA,2011,1666039,18030043,2267161,7492489,8270393,17187481,9671343,5005101,874605,1368395,45353,133372,128827,126785,98625,1032525,473766,1685016,238,278,221,262
2011_HAWAII,HAWAII,2011,179601,2499513,347363,2088870,63280,2259104,1253534,786284,133810,85476,1492,16827,14353,12783,11084,112565,51598,182706,239,278,214,257
2011_IDAHO,IDAHO,2011,265713,2089982,292602,1320153,477227,1960818,1104553,613667,98963,83524,1338,21901,21835,21172,19423,174825,81809,279873,240,287,221,268
2011_ILLINOIS,ILLINOIS,2011,2072114,29507584,2894897,10030682,16582005,28525858,14636402,9271610,922651,1884866,80723,145489,151870,153828,145047,1226944,629941,2083097,239,283,219,266
2011_INDIANA,INDIANA,2011,1023220,12125155,1024389,7340384,3760382,11113533,5609296,3548729,500684,843671,9540,78166,78627,79586,74071,636899,316160,1040765,244,285,221,265
2011_IOWA,IOWA,2011,493493,6098470,596688,2537754,2964028,6057294,2995991,1638449,230237,861361,26930,40187,34951,35498,37069,283035,145718,495870,243,285,221,265
2011_KANSAS,KANSAS,2011,482692,5538869,612100,2945175,1981594,5662146,2839803,1530694,220493,851777,18110,37557,35608,35291,32478,287355,137455,486108,246,290,224,267
2011_KENTUCKY,KENTUCKY,2011,672958,7104589,1164688,3704150,2235751,7253850,3663998,2238626,426989,733357,28107,52325,49894,50043,43928,407678,193392,681987,241,282,225,269
2011_LOUISIANA,LOUISIANA,2011,665109,8022917,1497262,3269321,3256334,8218870,4162557,2582814,406798,809639,29422,56037,58304,52289,39088,433343,184588,703390,231,273,210,255
2011_MAINE,MAINE,2011,186835,2654366,289290,1043281,1321795,2728535,1431522,874220,145034,164850,5048,13644,13533,14584,14887,111354,58923,188969,244,289,222,270
2011_MARYLAND,MARYLAND,2011,851971,13443940,1255964,5508339,6679637,13247697,7205515,4150447,482356,989839,28850,64727,63118,61917,60289,500639,259870,854086,247,288,231,271
2011_MASSACHUSETTS,MASSACHUSETTS,2011,924903,15396681,1197383,5783240,8416058,15150898,8685894,4583586,445972,817228,28116,67956,70404,72758,67460,569243,287055,953369,253,299,237,275
2011_MICHIGAN,MICHIGAN,2011,1455966,19374026,2525528,9845508,7002990,18469948,9198775,6024406,862583,1273466,37020,107852,112465,118628,120498,920586,500042,1573537,236,280,219,265
2011_MINNESOTA,MINNESOTA,2011,798891,10912368,842906,6289912,3779550,10612480,5644771,2520057,805204,1016875,14568,64133,60917,61574,71583,496843,264194,839738,249,295,222,270
2011_MISSISSIPPI,MISSISSIPPI,2011,490526,4516742,1006465,2071467,1438810,4345783,2238165,1393211,274243,368906,3842,41048,37715,36071,29115,303072,134158,490619,230,269,209,254
2011_MISSOURI,MISSOURI,2011,896702,9915356,1344755,3828396,4742205,9842505,5100879,2975252,531640,849819,29931,69864,67274,68413,64475,545581,271208,916584,240,282,220,267
2011_MONTANA,MONTANA,2011,141529,1631810,264517,713642,653651,1655584,902615,540180,72488,103728,1475,11697,10739,10773,10208,86553,42624,142349,244,293,225,273
2011_NEBRASKA,NEBRASKA,2011,297659,3879388,571969,1153077,2154342,3676326,2101943,951912,171112,349683,12907,23795,22279,21115,22332,176802,87792,301296,240,283,223,268
2011_NEVADA,NEVADA,2011,429610,4146577,447002,2359671,1339904,4258855,2161550,1377125,149940,323746,4408,33502,33608,33745,30322,270807,130252,439634,237,278,213,258
2011_NEW_HAMPSHIRE,NEW_HAMPSHIRE,2011,189275,2947007,184768,1061011,1701228,3001244,1654129,855476,77384,206241,3228,11915,14190,15164,14911,114489,62268,191900,252,292,230,272
2011_NEW_JERSEY,NEW_JERSEY,2011,1399409,26242376,1283994,9331426,15626956,25716298,14113108,8634990,909456,917304,36581,90955,96459,98968,94059,783107,394133,1356431,248,294,231,275
2011_NEW_MEXICO,NEW_MEXICO,2011,331373,3591330,636436,2355210,599684,3694437,1744548,1124390,140296,616478,7652,26954,25703,24436,20671,204875,97744,337225,233,274,208,256
2011_NEW_YORK,NEW_YORK,2011,2677412,57753776,5118477,23188002,29447297,59446908,37834196,14460678,1416793,4653802,49569,197458,196082,201190,190732,1595807,831712,2704718,238,280,222,266
2011_NORTH_CAROLINA,NORTH_CAROLINA,2011,1448117,14409515,2046954,7488570,4873991,13767024,7566249,3843709,696313,980517,33603,117944,116325,113238,94017,922516,433801,1507864,245,286,221,263
2011_NORTH_DAKOTA,NORTH_DAKOTA,2011,96255,1309044,186844,630430,491770,1312226,660944,360118,86352,124967,1706,8236,7028,7436,7348,57946,29758,97646,245,292,226,269
2011_OHIO,OHIO,2011,1655534,23488657,2533882,9834235,11120540,23010396,11074360,7570565,935953,2494681,29015,131323,130406,134219,117866,1056888,522804,1740030,244,289,224,268
2011_OKLAHOMA,OKLAHOMA,2011,658163,5835133,968529,2741058,2125546,5644988,2866601,1814927,367172,510428,42145,53053,48690,47321,39447,393563,175383,666120,237,279,215,260
2011_OREGON,OREGON,2011,559631,6112484,848637,2792762,2471085,6317635,3261190,2071303,224903,461979,7262,41478,42072,43653,45898,342570,176898,568208,237,283,216,264
2011_PENNSYLVANIA,PENNSYLVANIA,2011,1670854,28492510,3371827,9261234,15859449,28810721,13761915,7947108,1207139,2189151,12887,128804,129845,135598,138265,1061733,565203,1771395,246,286,227,268
2011_RHODE_ISLAND,RHODE_ISLAND,2011,139157,2212352,234111,768713,1209528,2198940,1260021,736651,93820,43726,1979,10164,10827,11146,10558,85516,45195,142854,242,283,222,265
2011_SOUTH_CAROLINA,SOUTH_CAROLINA,2011,713511,7772777,1041572,3338715,3392490,7961448,3689782,2428477,388361,1016126,23551,56065,54157,54243,44684,439773,207797,727186,237,281,215,260
2011_SOUTH_DAKOTA,SOUTH_DAKOTA,2011,125613,1297661,262395,374648,660618,1350617,661519,390655,59757,199636,2996,11375,9364,9139,8662,76158,37487,128016,241,291,220,269
2011_TENNESSEE,TENNESSEE,2011,986382,8679893,1272825,3955476,3451592,8961443,4947165,2635217,479721,661195,27982,79803,75146,73725,67637,604964,286944,999693,233,274,215,259
2011_TEXAS,TEXAS,2011,4800196,51023159,7818075,19623258,23581826,52691826,25155007,14325757,2474232,6556210,249524,379446,375756,360279,298637,3007882,1363618,5000470,241,290,218,261
2011_UTAH,UTAH,2011,545395,4141253,500782,2058112,1582359,4195916,2157337,1018548,315664,592949,11972,48953,46758,43971,39693,373611,164296,598832,243,283,220,267
2011_VERMONT,VERMONT,2011,86982,1686499,106823,1329172,250504,1722515,888388,511825,53418,63655,5559,6062,6158,6646,6930,50525,27762,89908,247,294,227,274
2011_VIRGINIA,VIRGINIA,2011,1250852,14655345,1427301,5351177,7876867,14675815,7861076,4602566,579290,1075067,31805,95574,93770,93361,89324,753846,376658,1257883,245,289,226,267
2011_WASHINGTON,WASHINGTON,2011,1042979,11905941,1367629,6758505,3779807,11928408,6007184,3427282,514227,1467334,12268,78014,77051,78891,84089,627902,327269,1045453,243,288,221,268
2011_WEST_VIRGINIA,WEST_VIRGINIA,2011,282130,3475642,510256,1927726,1037660,3670119,2010407,1160212,211866,269242,15280,21172,20748,20778,18498,165613,80805,282870,235,273,214,256
2011_WISCONSIN,WISCONSIN,2011,864251,11664303,1002909,5226954,5434440,11440718,6138402,3668777,479352,541918,54438,60875,60094,61413,68392,487497,268295,871105,245,289,221,267
2011_WYOMING,WYOMING,2011,88165,1650621,154955,878979,616687,1656850,825783,528352,52046,234408,518,7873,6790,6796,6178,55666,26042,90099,244,288,224,270
2012_ALABAMA,ALABAMA,2012,744621,7136949,789954,3948651,2398344,7222161,3695221,2239569,558658,580949,9032,59428,55859,58151,48945,458974,217203,744637,,,,
2012_ALASKA,ALASKA,2012,130771,2383402,352005,1507913,523484,2483320,1255757,947153,82607,145219,3131,10569,9756,9806,9696,79369,38420,131489,,,,
2012_ARIZONA,ARIZONA,2012,942738,7934798,1050228,2845535,4039035,8054662,3917564,2856528,360929,699033,9304,86265,83892,82769,81751,671982,321634,1089384,,,,
2012_ARKANSAS,ARKANSAS,2012,475671,5169926,666267,3823172,680487,5299969,2548056,1683928,277927,612420,14290,40463,36140,36607,30734,292641,138428,486157,,,,
2012_CALIFORNIA,CALIFORNIA,2012,6203034,69016392,8793325,36413273,23809794,70191877,34213049,20393761,3488344,6736656,74360,489274,468007,465967,496754,3763810,1965168,6299451,,,,
2012_COLORADO,COLORADO,2012,843120,8616009,705634,3702427,4207948,8472536,4174705,2751179,353940,697434,30375,66951,65921,62260,62503,520184,246051,863561,,,,
2012_CONNECTICUT,CONNECTICUT,2012,522451,10070907,509564,3735476,5825867,9791336,5485615,2932123,345177,637389,16393,39410,40895,42020,40743,324906,170245,550954,,,,
2012_DELAWARE,DELAWARE,2012,118624,1855867,183793,1090060,582014,1915966,1053066,531313,105134,149584,1291,10128,10089,9716,8365,79585,38022,129026,,,,
2012_DISTRICT_OF_COLUMBIA,DISTRICT_OF_COLUMBIA,2012,44618,1331006,137742,0,1193264,1189542,594156,266716,44780,283890,11428,6980,4631,4202,3317,39377,17577,76140,,,,
2012_FLORIDA,FLORIDA,2012,2658559,24139266,3068321,8702317,12368628,25352047,13558844,7607362,1622628,1837264,55124,210489,195358,204116,183193,1626947,799602,2692162,,,,
2012_GEORGIA,GEORGIA,2012,1669156,17559894,1862297,7455147,8242450,17400209,9611118,5043644,917885,1566020,45252,136837,128538,128432,101078,1040200,481043,1703332,,,,
2012_HAWAII,HAWAII,2012,182706,2535038,318728,2161254,55056,2344733,1262938,814511,143188,124096,1509,17497,14572,12791,10721,114462,51069,184760,,,,
2012_IDAHO,IDAHO,2012,267556,1981482,266087,1238989,476406,1911706,1073312,609786,102831,69239,2683,22409,21884,21670,19130,177111,82631,284834,,,,
2012_ILLINOIS,ILLINOIS,2012,2071481,29900021,2430413,10142137,17327471,29067543,14896596,9358604,956171,2032447,81475,147315,151409,152505,146273,1219411,624679,2072880,,,,
2012_INDIANA,INDIANA,2012,1006627,12395432,1096902,7462594,3835936,11351906,5659432,3670372,521782,894450,9114,80681,75678,79908,74886,635245,316329,1041369,,,,
2012_IOWA,IOWA,2012,495870,6262807,512246,2681035,3069526,6256926,3072424,1688512,242935,900591,27729,41381,35492,35694,36254,285931,144784,499825,,,,
2012_KANSAS,KANSAS,2012,485591,5613619,410051,3173205,2030363,5615714,2935226,1569972,235158,662722,18475,38379,36167,35447,32810,288797,137855,489043,,,,
2012_KENTUCKY,KENTUCKY,2012,681827,7192430,983232,3920971,2288227,7444529,3697663,2320305,448906,764062,26753,53875,50583,50259,44032,410084,193961,685167,,,,
2012_LOUISIANA,LOUISIANA,2012,665478,8477993,1527734,3588546,3361713,8504567,4365583,2793437,433580,777379,29426,58691,57434,52507,40179,436675,186111,710903,,,,
2012_MAINE,MAINE,2012,187247,2611056,239982,1012326,1358748,2625759,1376755,887596,108121,131394,4890,13727,13345,14127,14462,109307,57815,185739,,,,
2012_MARYLAND,MARYLAND,2012,853778,13752912,859635,5980541,6912736,13212140,7140620,4161605,336683,1139120,29671,66896,63703,60908,59978,506235,256836,859638,,,,
2012_MASSACHUSETTS,MASSACHUSETTS,2012,922683,15763456,979175,6200945,8583336,15696061,8801567,4642633,467588,1159931,28245,69669,70952,72048,67856,568277,287506,954773,,,,
2012_MICHIGAN,MICHIGAN,2012,1421312,18622316,1866406,9796808,6959102,18063824,9070480,5802009,862829,1200582,36769,107986,112068,117640,118564,914737,492272,1555370,,,,
2012_MINNESOTA,MINNESOTA,2012,799736,10681609,740098,6642440,3299071,10696348,5672620,2555775,826218,1034162,14695,65745,62523,62335,70510,502923,262041,845404,,,,
2012_MISSISSIPPI,MISSISSIPPI,2012,490619,4477828,795110,2195720,1486998,4423270,2291333,1449935,281636,329375,4026,43208,36663,36745,29676,304011,133809,493650,,,,
2012_MISSOURI,MISSOURI,2012,893221,10022622,994192,4115324,4913106,9910617,5056789,2994397,553027,891474,29684,71778,67493,68057,64151,546068,270370,917900,,,,
2012_MONTANA,MONTANA,2012,142237,1628318,214164,761029,653125,1652537,888206,536815,73808,117001,1321,11709,10861,10895,9784,87789,42089,142908,,,,
2012_NEBRASKA,NEBRASKA,2012,300941,3764056,366016,1166374,2231666,3880517,2247992,984922,165408,374671,13831,22095,22583,21438,23152,179506,88073,303505,,,,
2012_NEVADA,NEVADA,2012,428526,4053945,403548,2401035,1249362,4109706,2049362,1336995,159943,321145,4599,35008,33462,34192,31939,273430,131953,445707,,,,
2012_NEW_HAMPSHIRE,NEW_HAMPSHIRE,2012,190778,2963221,187243,1029325,1746653,2961684,1654634,868513,78190,160056,3260,11892,13907,14784,14600,113017,60805,188974,,,,
2012_NEW_JERSEY,NEW_JERSEY,2012,1330300,27574528,1371038,10401941,15801549,26432652,14491817,8921990,943029,940577,35128,94830,98152,100052,97048,788168,400875,1372203,,,,
2012_NEW_MEXICO,NEW_MEXICO,2012,328690,3478709,491732,2380982,605995,3616691,1688871,1097238,142740,615427,7509,27662,25474,25177,20559,205807,97242,338220,,,,
2012_NEW_YORK,NEW_YORK,2012,2644029,58981073,3769627,23314292,31897154,60216421,38431932,14662331,1490478,4094920,48712,202670,198361,200642,192112,1601541,825972,2710703,,,,
2012_NORTH_CAROLINA,NORTH_CAROLINA,2012,1462172,12788659,1831015,7648102,3309542,13418244,7521325,3817233,716796,728580,30329,121389,116264,115147,94648,928372,438375,1518465,,,,
2012_NORTH_DAKOTA,NORTH_DAKOTA,2012,97555,1345371,160050,658255,527066,1380563,685786,368323,93834,160904,1848,8578,7380,7500,7347,60569,30116,101111,,,,
2012_OHIO,OHIO,2012,1630865,22799205,2007733,9336277,11455195,22662376,10861218,7524489,924456,2416140,27558,131874,129295,133955,117623,1051867,518617,1729916,,,,
2012_OKLAHOMA,OKLAHOMA,2012,664200,5824963,773014,2869071,2182878,5594867,2736786,1898922,385999,496119,42154,55115,49274,47856,39407,397470,176812,673483,,,,
2012_OREGON,OREGON,2012,566525,6124872,550894,3038052,2535926,6314092,3250376,2057965,228474,448562,23850,42642,42401,43578,46723,342833,178239,587564,,,,
2012_PENNSYLVANIA,PENNSYLVANIA,2012,1644759,27881568,2145208,9561500,16174860,27851918,13450420,7682906,1170594,1735626,10109,129624,131315,136775,136357,1063403,557464,1763677,,,,
2012_RHODE_ISLAND,RHODE_ISLAND,2012,137400,2208278,204682,779000,1224596,2190431,1272285,727287,95213,33633,2068,10786,10831,9971,10509,84955,44672,142481,,,,
2012_SOUTH_CAROLINA,SOUTH_CAROLINA,2012,715744,7889771,848254,3586738,3454779,7948441,3749691,2489094,408649,869025,23786,58641,54058,55365,44755,444923,208648,735998,,,,
2012_SOUTH_DAKOTA,SOUTH_DAKOTA,2012,127726,1298723,212615,395054,691054,1296971,649023,379791,63166,172398,3117,11901,9657,9408,8816,78186,37267,130471,,,,
2012_TENNESSEE,TENNESSEE,2012,998638,8983224,1257953,4017946,3707325,9256522,5151260,2693334,514174,671532,27096,81186,74425,74459,66299,603243,281971,993496,,,,
2012_TEXAS,TEXAS,2012,4844744,49979753,6140296,19801928,24037529,50215314,23902458,13954303,2497013,5538370,250911,390636,378750,366857,305425,3048599,1387513,5077659,,,,
2012_UTAH,UTAH,2012,553873,4217360,426702,2158049,1632609,4330417,2161779,1052249,334499,666528,12329,50378,48362,45387,40774,381495,169077,613279,,,,
2012_VERMONT,VERMONT,2012,87968,1754161,124451,1372320,257390,1726321,904254,518561,54031,45788,5705,6273,6133,6541,6756,50089,27557,89624,,,,
2012_VIRGINIA,VIRGINIA,2012,1257332,14940479,1365551,5564504,8010424,15129464,8123166,4744530,611769,1078796,32852,96935,94005,93787,88971,759657,375975,1265419,,,,
2012_WASHINGTON,WASHINGTON,2012,1044856,11955582,1057045,7001110,3897427,12187889,5866729,3735795,524816,1552074,12466,80789,78244,79272,84981,631305,327134,1051694,,,,
